Trajectories
50
,,Facetracking Jonas:LEyebrow1,,,Facetracking Jonas:REyebrow1,,,Facetracking Jonas:Nosetip1,,,Facetracking Jonas:LMoothside1,,,Facetracking Jonas:RMoothside1,,,Facetracking Jonas:Chin1,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
45,0,295.647,-425.682,1242.65,386.325,-354.721,1251.41,302.505,-342.433,1205.59,,,,,,,318.306,-358.716,1130.54
46,0,295.56,-425.818,1242.82,386.305,-354.725,1251.43,302.307,-342.414,1205.8,,,,,,,318.158,-358.596,1130.61
47,0,295.428,-425.865,1242.86,386.232,-354.764,1251.43,302.264,-342.43,1205.8,,,,,,,318.055,-358.607,1130.63
48,0,295.606,-425.954,1242.76,386.195,-354.719,1251.45,302.219,-342.419,1205.76,,,,,,,318.051,-358.536,1130.63
49,0,295.541,-425.882,1242.64,386.127,-354.659,1251.46,302.332,-342.356,1205.62,,,,,,,318.085,-358.438,1130.56
50,0,295.287,-425.802,1242.67,386.071,-354.587,1251.48,302.306,-342.243,1205.63,,,,,,,318.245,-358.384,1130.78
51,0,295.454,-425.739,1242.62,385.996,-354.501,1251.48,302.226,-342.135,1205.61,,,,,,,318.159,-358.27,1130.8
52,0,295.495,-425.607,1242.56,385.994,-354.38,1251.47,302.276,-341.997,1205.52,,,,,,,318.038,-358.21,1130.65
53,0,295.479,-425.477,1242.56,386.042,-354.282,1251.41,302.352,-341.948,1205.42,,,,,,,318.148,-358.204,1130.52
54,0,295.505,-425.351,1242.56,386.093,-354.236,1251.38,302.397,-342.019,1205.46,,,,,,,318.38,-358.17,1130.71
55,0,295.575,-425.227,1242.54,386.19,-354.178,1251.38,302.432,-341.884,1205.42,,,,,,,318.342,-358.105,1130.58
56,0,295.891,-424.911,1242.19,386.297,-354.153,1251.41,302.528,-341.826,1205.43,,,,,,,318.551,-357.963,1130.83
57,0,295.844,-424.968,1242.43,386.405,-354.096,1251.44,302.737,-341.829,1205.47,,,,,,,318.356,-357.889,1130.67
58,0,295.929,-424.844,1242.34,386.592,-354.025,1251.43,302.865,-341.751,1205.43,,,,,,,318.457,-357.818,1130.69
59,0,295.958,-424.566,1242.23,386.379,-353.941,1251.29,302.882,-341.595,1205.41,,,,,,,318.532,-357.702,1130.72
60,0,296.018,-424.47,1242.17,386.422,-353.902,1251.11,303.005,-341.513,1205.41,,,,,,,318.592,-357.593,1130.66
61,0,296.083,-424.407,1242.18,386.476,-353.885,1251.09,303.097,-341.412,1205.41,,,,,,,318.701,-357.537,1130.7
62,0,296.107,-424.478,1242.24,386.727,-353.861,1251.13,303.18,-341.341,1205.36,,,,,,,318.676,-357.469,1130.67
63,0,296.132,-424.517,1242.26,386.869,-353.878,1251.13,303.26,-341.264,1205.26,,,,,,,318.729,-357.38,1130.63
64,0,296.132,-424.495,1242.16,386.94,-353.893,1251.05,303.326,-341.212,1205.14,,,,,,,318.807,-357.417,1130.57
65,0,296.131,-424.446,1242.13,386.992,-353.894,1251.03,303.39,-341.178,1205.04,,,,,,,318.878,-357.357,1130.5
66,0,296.087,-424.474,1242.11,386.979,-353.898,1250.99,303.389,-341.152,1204.98,,,,,,,318.933,-357.393,1130.43
67,0,296.049,-424.473,1242.03,386.968,-353.91,1251.01,303.401,-341.166,1204.93,,,,,,,318.977,-357.452,1130.41
68,0,296.005,-424.56,1242.04,386.934,-353.908,1251,303.351,-341.161,1204.89,,,,,,,319.173,-357.391,1130.72
69,0,296.003,-424.613,1241.98,386.926,-353.938,1251.04,303.332,-341.208,1204.84,,,,,,,319.179,-357.463,1130.67
70,0,296.011,-424.681,1241.99,386.908,-354.008,1251.07,303.282,-341.301,1204.84,,,,,,,319.095,-357.656,1130.44
71,0,296.029,-424.742,1241.99,386.893,-354.057,1251.1,303.263,-341.328,1204.9,,,,,,,319.066,-357.703,1130.45
72,0,296.093,-424.788,1241.99,386.917,-354.154,1251.19,303.342,-341.553,1205.02,,,,,,,319.073,-357.768,1130.49
73,0,296.1,-424.863,1242.03,386.94,-354.259,1251.22,303.285,-341.595,1205.1,,,,,,,319.042,-357.795,1130.52
74,0,296.053,-424.967,1242.11,386.915,-354.36,1251.19,303.239,-341.618,1205.17,,,,,,,319.01,-357.821,1130.54
75,0,296.065,-425.023,1242.05,386.853,-354.529,1251.31,303.138,-341.677,1205.19,,,,,,,318.959,-357.864,1130.57
76,0,296.004,-425.113,1242.04,386.916,-354.613,1251.31,303.04,-341.75,1205.23,,,,,,,318.887,-357.851,1130.59
77,0,295.988,-425.191,1241.97,386.676,-354.663,1251.35,302.96,-341.842,1205.25,,,,,,,318.743,-357.88,1130.61
78,0,295.757,-425.341,1242.12,386.487,-354.672,1251.4,302.791,-341.913,1205.32,,,,,,,318.534,-357.864,1130.57
79,0,295.673,-425.409,1242.08,386.336,-354.677,1251.45,302.631,-341.955,1205.35,,,,,,,318.601,-357.871,1130.83
80,0,295.58,-425.463,1242.07,386.189,-354.706,1251.45,302.576,-341.907,1205.28,,,,,,,318.554,-358.033,1130.76
81,0,295.438,-425.612,1242.1,386.105,-354.71,1251.46,302.514,-342.013,1205.22,,,,,,,318.526,-358.225,1130.8
82,0,295.216,-425.715,1242.26,386.023,-354.755,1251.5,302.446,-342.02,1205.22,,,,,,,318.488,-358.2,1130.72
83,0,295.222,-425.739,1242.27,385.916,-354.845,1251.54,302.373,-342.086,1205.21,,,,,,,318.503,-358.248,1130.72
84,0,295.057,-425.821,1242.28,385.889,-354.86,1251.6,302.339,-342.096,1205.22,,,,,,,318.574,-358.347,1130.7
85,0,295.06,-425.868,1242.18,385.815,-354.944,1251.63,302.294,-342.154,1205.24,,,,,,,318.521,-358.347,1130.71
86,0,295.01,-425.963,1242.19,385.762,-354.991,1251.72,302.228,-342.243,1205.27,,,,,,,318.379,-358.323,1130.57
87,0,294.971,-426.081,1242.22,385.676,-355.04,1251.79,302.135,-342.326,1205.36,,,,,,,318.518,-358.322,1130.74
88,0,294.922,-426.115,1242.2,385.594,-355.051,1251.87,302.091,-342.43,1205.39,,,,,,,318.245,-358.223,1130.59
89,0,294.903,-426.114,1242.12,385.542,-355.065,1251.81,302.01,-342.388,1205.39,,,,,,,318.264,-358.151,1130.73
90,0,294.845,-426.164,1242.11,385.514,-355.036,1251.75,302.001,-342.384,1205.33,,,,,,,318.058,-358.127,1130.57
91,0,294.866,-426.086,1242.1,385.559,-354.964,1251.73,302.034,-342.211,1205.24,,,,,,,317.971,-358.036,1130.61
92,0,294.935,-425.864,1242,385.601,-354.923,1251.7,302.128,-342.174,1205.29,,,,,,,318.029,-358.044,1130.52
